DATE,S210401A027NBEA
1929-01-01,0.148
1930-01-01,0.154
1931-01-01,0.149
1932-01-01,0.144
1933-01-01,0.129
1934-01-01,0.126
1935-01-01,0.129
1936-01-01,0.13
1937-01-01,0.134
1938-01-01,0.137
1939-01-01,0.137
1940-01-01,0.14
1941-01-01,0.142
1942-01-01,0.142
1943-01-01,0.145
1944-01-01,0.147
1945-01-01,0.149
1946-01-01,0.155
1947-01-01,0.171
1948-01-01,0.189
1949-01-01,0.211
1950-01-01,0.227
1951-01-01,0.245
1952-01-01,0.266
1953-01-01,0.287
1954-01-01,0.306
1955-01-01,0.316
1956-01-01,0.302
1957-01-01,0.281
1958-01-01,0.303
1959-01-01,0.506
1960-01-01,0.552
1961-01-01,0.592
1962-01-01,0.635
1963-01-01,0.659
1964-01-01,0.663
1965-01-01,0.689
1966-01-01,0.689
1967-01-01,0.722
1968-01-01,0.763
1969-01-01,0.793
1970-01-01,0.837
1971-01-01,0.861
1972-01-01,0.876
1973-01-01,0.889
1974-01-01,0.863
1975-01-01,0.906
1976-01-01,0.914
1977-01-01,0.894
1978-01-01,1.046
1979-01-01,1.143
1980-01-01,1.232
1981-01-01,1.273
1982-01-01,1.385
1983-01-01,1.534
1984-01-01,1.643
1985-01-01,1.787
1986-01-01,2.036
1987-01-01,2.305
1988-01-01,2.479
1989-01-01,2.772
1990-01-01,2.972
1991-01-01,3.223
1992-01-01,3.652
1993-01-01,3.623
1994-01-01,4.061
1995-01-01,4.166
1996-01-01,4.537
1997-01-01,4.619
1998-01-01,4.836
1999-01-01,5.132
2000-01-01,4.848
2001-01-01,5.065
2002-01-01,5.168
2003-01-01,5.749
2004-01-01,5.727
2005-01-01,6.194
2006-01-01,6.637
2007-01-01,6.934
2008-01-01,7.038
2009-01-01,7.502
2010-01-01,7.675
2011-01-01,7.451
2012-01-01,7.42
2013-01-01,7.7
2014-01-01,8.064
2015-01-01,8.468
2016-01-01,8.827
2017-01-01,9.207
2018-01-01,9.664
2019-01-01,10.133
2020-01-01,10.523
2021-01-01,10.938
2022-01-01,11.594
2023-01-01,12.055
